Title, Source, Date, Content, URL, Category
Trump coronavirus guidance on keeping gun stores open draws criticism,Channelnewsasia.com,30/3/2020,WASHINGTON: Gun control activists on Monday (Mar 30) criticised guidance issued by President Donald Trump's administration recommending that states find that gun stores are critical businesses that can stay open during the coronavirus crisis.,https://www.channelnewsasia.com/news/world/trump-coronavirus-guidance-gun-stores-open-criticism-12591678,World
Spanish tenor Domingo leaves hospital after COVID-19 treatment,Channelnewsasia.com,30/3/2020,MEXICO CITY: Spanish tenor Placido Domingo said on Monday (Mar 30) he is recovering from COVID-19 at home after being released from hospital in Mexico. The 79-year-old opera star said on Mar 22 he had tested positive for the coronavirus. He was later admitted…,https://www.channelnewsasia.com/news/world/spanish-tenor-domingo-hospital-coronavirus-covid-19-treatment-12591698,World
Ford; GE to produce 50;000 ventilators in 100 days,Channelnewsasia.com,30/3/2020,Ford Motor Co  said on Monday it will produce 50;000 ventilators over the next 100 days at a plant in Michigan in cooperation with General Electric's  healthcare unit; and can then build 30;000 per month as needed to treat patients afflicted with the coronavi…,https://www.channelnewsasia.com/news/business/ford--ge-to-produce-50-000-ventilators-in-100-days-12591702,Business
Fiat Chrysler CEO to halve his salary for three months in virus response: letter,Channelnewsasia.com,30/3/2020,Fiat Chrysler  top executives will temporarily cut their salaries to preserve the automaker's financial soundness during the coronavirus emergency; Chief Executive Mike Manley told employees on Monday.,https://www.channelnewsasia.com/news/business/fiat-chrysler-ceo-to-halve-his-salary-for-three-months-in-virus-response--letter-12591694,Business
Wall Street rallies; led by healthcare jump,Channelnewsasia.com,30/3/2020,U.S. stocks rose on Monday as President Donald Trump followed last week's massive fiscal stimulus package by extending his stay-at-home guidelines; leaving investors hopeful the economic impact of the coronavirus could still be contained.    A record US$2.2 t…,https://www.channelnewsasia.com/news/business/wall-street-rallies--led-by-healthcare-jump-12589990,Business
New York cheers arrival of hospital ship as coronavirus cases soar,Channelnewsasia.com,30/3/2020,NEW YORK: People cheered the US Navy hospital ship Comfort as it sailed into New York on Monday (Mar 30); a beacon of the national effort to stanch the coronavirus outbreak at its US epicentre as the number of cases soared. Painted a gleaming white and adorne…,https://www.channelnewsasia.com/news/world/new-york-cheers-arrival-of-hospital-ship-as-coronavirus-cases-soar-12591576,World
Senior Italian cardinal; papal vicar for Rome; has coronavirus,Channelnewsasia.com,30/3/2020,ROME: Cardinal Angelo De Donatis; Pope Francis' vicar for the diocese of Rome; on Monday (Mar 30) became the highest-ranking Catholic official known to test positive for coronavirus.,https://www.channelnewsasia.com/news/world/senior-italian-cardinal-papal-vicar-rome-coronavirus-12591602,World
Italy sees 812 more coronavirus deaths; but new cases fall steeply,Channelnewsasia.com,30/3/2020,ROME: The death toll from an outbreak of coronavirus in Italy has risen by 812 in the last 24 hours; the Civil Protection Agency said on Monday (Mar 30); reversing two days of declines. Italy; the world's hardest hit country which accounts for more than a thi…,https://www.channelnewsasia.com/news/world/italy-812-coronavirus-deaths-new-cases-fall-steeply-12591216,World
BP will not cut jobs over next three months: CEO Looney,Channelnewsasia.com,30/3/2020,Oil major BP PLC  will not cut jobs over the next three months; Chief Executive Officer Bernard Looney said; even as the company seeks to reduce spending following an oil price crash.,https://www.channelnewsasia.com/news/business/bp-will-not-cut-jobs-over-next-three-months--ceo-looney-12591622,Business
Israel to use computer analysis to find likely coronavirus carriers,Channelnewsasia.com,30/3/2020,TEL AVIV: Israel's defence ministry plans to use software that analyses data gathered from mobile phones - produced; according to Israeli media; by the spyware firm NSO - to help locate likely carriers of the coronavirus in order to test them. Defence Ministe…,https://www.channelnewsasia.com/news/world/israel-to-use-computer-analysis-to-find-likely-coronavirus-carriers-12591222,World
